source,target,total
Sun Rit,Tessek,1
Poggle the Lesser,Sun Rit,2
Nute Gunray,Sun Rit,2
Sun Rit,Anakin Skywalker,2
Shu Mai,Passel Argente,2
Toonbuck Toora,Passel Argente,1
Count Dooku,Passel Argente,2
Geonosian,Passel Argente,1
San Hill,Passel Argente,1
Tessek,Passel Argente,1
Poggle the Lesser,Passel Argente,1
Nute Gunray,Passel Argente,2
Anakin Skywalker,Passel Argente,1
Shu Mai,Toonbuck Toora,1
Count Dooku,Shu Mai,2
Geonosian,Shu Mai,1
San Hill,Shu Mai,1
Shu Mai,Tessek,1
Poggle the Lesser,Shu Mai,1
Nute Gunray,Shu Mai,4
Anakin Skywalker,Shu Mai,3
Count Dooku,Toonbuck Toora,1
Geonosian,Toonbuck Toora,1
San Hill,Toonbuck Toora,1
Tessek,Toonbuck Toora,1
Poggle the Lesser,Toonbuck Toora,1
Nute Gunray,Toonbuck Toora,1
Anakin Skywalker,Toonbuck Toora,1
Count Dooku,San Hill,1
Count Dooku,Tessek,1
Poggle the Lesser,Count Dooku,2
Geonosian,San Hill,1
Geonosian,Tessek,1
Poggle the Lesser,Geonosian,2
Nute Gunray,Geonosian,2
San Hill,Tessek,1
Poggle the Lesser,San Hill,1
Nute Gunray,San Hill,1
Anakin Skywalker,San Hill,1
Poggle the Lesser,Tessek,1
Nute Gunray,Tessek,1
Anakin Skywalker,Tessek,1
Poggle the Lesser,Nute Gunray,2
Poggle the Lesser,Anakin Skywalker,2
Obi-Wan Kenobi,Sun Rit,1
Obi-Wan Kenobi,Geonosian,4
Poggle the Lesser,Obi-Wan Kenobi,1
Jango Fett,Sun Rit,1
Jango Fett,Geonosian,3
Poggle the Lesser,Jango Fett,1
Nute Gunray,Jango Fett,1
Sun Rit,Boba Fett,1
Geonosian,Boba Fett,4
Poggle the Lesser,Boba Fett,1
Nute Gunray,Boba Fett,1
Battle Droid,Jango Fett,2
Battle Droid,Count Dooku,8
Battle Droid,Geonosian,3
Battle Droid,Boba Fett,3
Battle Droid,Mace Windu,4
Geonosian,Mace Windu,3
Boba Fett,Mace Windu,3
Battle Droid,Plo Koon,1
Battle Droid,Clone Troopers,12
Yoda,Clone Troopers,8
Yoda,Geonosian,1
Padme Amidala,Clone Troopers,2
Count Dooku,Clone Troopers,4
Clone Troopers,Geonosian,1
Clone Troopers,Anakin Skywalker,10
Clone Troopers,Mace Windu,2
Count Dooku,Rebel Pilot,1
Clone Troopers,Rebel Pilot,2
Republic Captain,Yoda,2
Republic Captain,Count Dooku,2
Republic Captain,Clone Troopers,3
Obi-Wan Kenobi,R4-D17,2
Anakin Skywalker,R4-D17,2
R2-D2,R4-D17,2
Wedge Antilles,Obi-Wan Kenobi,2
Wedge Antilles,Anakin Skywalker,2
Wedge Antilles,Odd Ball,1
Wedge Antilles,Red Leader,42
Obi-Wan Kenobi,Odd Ball,2
Obi-Wan Kenobi,Red Leader,2
Anakin Skywalker,Odd Ball,2
Anakin Skywalker,Red Leader,2
Odd Ball,Red Leader,1
Battle Droid,Buzz Droid,1
Battle Droid,Odd Ball,1
Battle Droid,R4-D17,1
Battle Droid,Clone Pilot,1
Obi-Wan Kenobi,Buzz Droid,1
Odd Ball,Buzz Droid,1
R4-D17,Buzz Droid,1
Rebel Pilot,Buzz Droid,1
R2-D2,Buzz Droid,1
Clone Troopers,Buzz Droid,1
Clone Pilot,Buzz Droid,1
Anakin Skywalker,Buzz Droid,1
Obi-Wan Kenobi,Clone Pilot,1
Odd Ball,R4-D17,1
Rebel Pilot,Odd Ball,1
R2-D2,Odd Ball,1
Clone Troopers,Odd Ball,1
Odd Ball,Clone Pilot,1
Rebel Pilot,R4-D17,1
Clone Troopers,R4-D17,1
R4-D17,Clone Pilot,1
Rebel Pilot,Clone Pilot,2
R2-D2,Clone Troopers,1
R2-D2,Clone Pilot,1
Clone Troopers,Clone Pilot,1
Anakin Skywalker,Clone Pilot,1
Republic Captain,General Grievous,1
General Grievous,Count Dooku,5
Obi-Wan Kenobi,General Grievous,15
General Grievous,Anakin Skywalker,8
Count Dooku,Luke Skywalker,1
Luke Skywalker,Palpatine,6
General Grievous,Rebel Pilot,3
General Grievous,Bodyguard,4
Count Dooku,Destroyer Droids,1
Battle Droid,General Grievous,5
Battle Droid,Bodyguard,2
General Grievous,Palpatine,8
R2-D2,General Grievous,2
Bodyguard,Palpatine,1
Obi-Wan Kenobi,Bodyguard,2
Bodyguard,Rebel Pilot,1
R2-D2,Bodyguard,1
Bodyguard,Anakin Skywalker,1
Rebel Pilot,Palpatine,4
General Grievous,Bail Organa,1
Jar Jar Binks,General Grievous,1
General Grievous,C-3PO,1
General Grievous,Mace Windu,4
C-3PO,Palpatine,3
R2-D2,Bail Organa,5
Bail Organa,Anakin Skywalker,3
Bail Organa,C-3PO,5
Master Vos,Obi-Wan Kenobi,1
Master Vos,Anakin Skywalker,1
Giddean Danu,Fang Zar,2
Giddean Danu,Palpatine,1
Mon Mothma,Giddean Danu,2
Bail Organa,Giddean Danu,2
Padme Amidala,Giddean Danu,2
Giddean Danu,Terr Taneel,1
Fang Zar,Palpatine,2
Mon Mothma,Fang Zar,2
Bail Organa,Fang Zar,2
Padme Amidala,Fang Zar,3
Terr Taneel,Fang Zar,1
Mon Mothma,Palpatine,2
Terr Taneel,Palpatine,1
Mon Mothma,Bail Organa,2
Mon Mothma,Padme Amidala,2
Mon Mothma,Terr Taneel,1
Bail Organa,Terr Taneel,1
Padme Amidala,Terr Taneel,1
General Grievous,Yoda,3
General Grievous,Luke Skywalker,1
General Grievous,Plo Koon,2
Luke Skywalker,Plo Koon,1
Luke Skywalker,Mace Windu,2
Anakin Skywalker,Plo Koon,2
Captain Typho,Motee,1
Padme Amidala,Motee,1
Anakin Skywalker,Motee,1
Mas Amedda,Anakin Skywalker,2
Mas Amedda,Darth Plagueis,1
Anakin Skywalker,Darth Plagueis,1
Darth Plagueis,Palpatine,1
Agen Kolar,General Grievous,1
General Grievous,Baron Papanoida,1
Agen Kolar,Yoda,1
Yoda,Baron Papanoida,1
Agen Kolar,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Baron Papanoida,1
Agen Kolar,Plo Koon,1
Plo Koon,Baron Papanoida,1
Agen Kolar,Anakin Skywalker,1
Agen Kolar,Baron Papanoida,1
Agen Kolar,Mace Windu,2
Anakin Skywalker,Baron Papanoida,1
Mace Windu,Baron Papanoida,1
Clone Commander Gree,Yoda,2
Chi Eekway,Giddean Danu,1
Chi Eekway,Fang Zar,1
Mon Mothma,Chi Eekway,1
Chi Eekway,Bail Organa,1
Chi Eekway,Padme Amidala,1
Chi Eekway,Bana Breemu,1
Giddean Danu,Bana Breemu,1
Bana Breemu,Fang Zar,1
Mon Mothma,Bana Breemu,1
Bail Organa,Bana Breemu,1
Padme Amidala,Bana Breemu,1
Clone Commander Cody,Obi-Wan Kenobi,3
Clone Commander Cody,Anakin Skywalker,2
Clone Commander Cody,Clone Troopers,2
Mas Amedda,General Grievous,1
Tion Medon,Obi-Wan Kenobi,1
Tion Medon,General Grievous,2
Tion Medon,R4-G9,1
Obi-Wan Kenobi,R4-G9,1
R4-G9,General Grievous,1
Tion Medon,Bodyguard,1
Obi-Wan Kenobi,Wrangler,1
General Grievous,Wat Tambor,1
General Grievous,Shu Mai,1
General Grievous,Rune Haako,1
General Grievous,Passel Argente,1
Nute Gunray,General Grievous,1
Wat Tambor,Palpatine,1
Shu Mai,Palpatine,1
Passel Argente,Palpatine,1
Obi-Wan Kenobi,Wat Tambor,1
Rune Haako,Wat Tambor,3
Obi-Wan Kenobi,Shu Mai,1
Obi-Wan Kenobi,Passel Argente,1
Rune Haako,Shu Mai,3
Count Dooku,Rune Haako,1
Rune Haako,Passel Argente,1
General Grievous,Clone Troopers,3
Bodyguard,Count Dooku,1
Bodyguard,Clone Troopers,1
Maledee,Fang Zar,1
Maledee,Palpatine,1
Maledee,Anakin Skywalker,1
Maledee,Sweitt Concorkill,1
Maledee,Padme Amidala,1
Anakin Skywalker,Fang Zar,1
Sweitt Concorkill,Fang Zar,1
Sweitt Concorkill,Palpatine,1
Sweitt Concorkill,Anakin Skywalker,1
Padme Amidala,Sweitt Concorkill,1
Clone Commander Cody,Yoda,1
Clone Commander Cody,Aayla Secura,1
Clone Commander Cody,Mace Windu,1
Aayla Secura,Yoda,1
Obi-Wan Kenobi,Aayla Secura,1
Aayla Secura,Anakin Skywalker,1
Aayla Secura,Mace Windu,1
Kit Fisto,Luke Skywalker,1
Kit Fisto,Palpatine,1
Kit Fisto,Anakin Skywalker,1
Kit Fisto,Mace Windu,2
Agen Kolar,Kit Fisto,1
General Grievous,Padme Amidala,2
Darth Vader,General Grievous,2
Darth Vader,Anakin Skywalker,13
Clone Commander Cody,Battle Droid,1
Clone Commander Cody,Palpatine,1
Clone Troopers,Palpatine,6
Clone Troopers,Clone Commander Bacara,1
Clone Commander Bacara,Palpatine,1
Aayla Secura,Battle Droid,1
Aayla Secura,Clone Troopers,1
Aayla Secura,Barriss Offee,1
Battle Droid,Barriss Offee,1
Clone Troopers,Barriss Offee,1
Master Vos,Clone Troopers,1
Clone Pilot,Palpatine,1
Stass Allie,Clone Troopers,1
Clone Commander Gree,Palpatine,1
Tarfful,Battle Droid,1
Tarfful,Yoda,3
Tarfful,Clone Troopers,2
Tarfful,Chewbacca,3
Tarfful,Clone Commander Gree,1
Battle Droid,Chewbacca,1
Clone Commander Gree,Battle Droid,1
Yoda,Chewbacca,4
Clone Troopers,Chewbacca,2
Clone Commander Gree,Clone Troopers,1
Clone Commander Gree,Chewbacca,1
Anakin Skywalker,Shaak Ti,1
Bail Organa,Clone Troopers,1
Bail Organa,Zett Jukassa,1
Bail Organa,Clone Commander Appo,1
Clone Troopers,Zett Jukassa,1
Clone Troopers,Clone Commander Appo,1
Zett Jukassa,Clone Commander Appo,1
Tarfful,Ponda Babba,1
Yoda,Ponda Babba,3
Clone Troopers,Ponda Babba,1
Ponda Babba,Chewbacca,1
Bail Organa,Royal Guards,1
Bail Organa,Captain Antilles,2
Captain Typho,C-3PO,2
Mas Amedda,Rebel Pilot,1
Yoda,Rebel Pilot,2
Bail Organa,Rebel Pilot,1
Battle Droid,Rune Haako,2
Battle Droid,Wat Tambor,2
Battle Droid,Shu Mai,2
Anakin Skywalker,Rune Haako,2
Rune,Wat Tambor,1
Destroyer Droids,Wat Tambor,1
Rune,Shu Mai,1
Destroyer Droids,Shu Mai,1
Rune,Rune Haako,1
Destroyer Droids,Rune Haako,1
Nute Gunray,Destroyer Droids,1
Rune,Anakin Skywalker,1
Rune,Destroyer Droids,1
Darth Vader,Luke Skywalker,21
Darth Vader,Clone Commander Thire,1
Yoda,Clone Commander Thire,1
Clone Commander Thire,Palpatine,1
Mas Amedda,Clone Commander Thire,1
Battle Droid,Worker Droid,1
Worker Droid,Palpatine,1
Obi-Wan Kenobi,Worker Droid,1
Anakin Skywalker,Worker Droid,1
Bail Organa,Qui-Gon Jinn,1
R2-D2,Yoda,9
Yoda,C-3PO,4
Medical Droid,Battle Droid,2
Battle Droid,C-3PO,1
Medical Droid,Yoda,2
Obi-Wan Kenobi,Medical Droid,2
Medical Droid,Bail Organa,2
Medical Droid,Padme Amidala,3
Medical Droid,R2-D2,2
Medical Droid,C-3PO,2
Yoda,Princess Leia,3
Obi-Wan Kenobi,Princess Leia,10
Bail Organa,Princess Leia,1
Padme Amidala,Princess Leia,1
Medical Droid,Princess Leia,1
R2-D2,Princess Leia,17
C-3PO,Princess Leia,42
Darth Vader,Battle Droid,1
Darth Vader,Medical Droid,1
Medical Droid,Anakin Skywalker,1
Medical Droid,Palpatine,1
R2-D2,Captain Antilles,2
C-3PO,Captain Antilles,2
Darth Vader,Tarkin,8
Tarkin,Palpatine,1
Obi-Wan Kenobi,Owen Lars,3
Obi-Wan Kenobi,Beru Lars,3
Darth Vader,Imperial Officer,3
Darth Vader,Rebel Officer,1
Imperial Officer,Rebel Officer,1
Luke Skywalker,Biggs Darklighter,15
Luke Skywalker,Wormie,1
Windy,Luke Skywalker,1
Fixer,Luke Skywalker,3
Luke Skywalker,Camie,2
Luke Skywalker,Deak,2
Biggs Darklighter,Wormie,1
Windy,Biggs Darklighter,1
Fixer,Biggs Darklighter,3
Biggs Darklighter,Camie,2
Biggs Darklighter,Deak,2
Windy,Wormie,1
Fixer,Wormie,1
Wormie,Camie,1
Wormie,Deak,1
Windy,Fixer,1
Windy,Camie,1
Windy,Deak,1
Fixer,Camie,2
Fixer,Deak,2
Camie,Deak,1
Darth Vader,Rebel Trooper,2
Darth Vader,Princess Leia,10
Rebel Trooper,Princess Leia,2
Owen Lars,Luke Skywalker,9
Owen Lars,Biggs Darklighter,3
Fixer,Owen Lars,1
Owen Lars,Deak,1
R2-D2,Jawa,2
Luke Skywalker,Beru Lars,5
Luke Skywalker,C-3PO,34
Luke Skywalker,Jawa,2
Owen Lars,Jawa,1
Beru Lars,Jawa,1
C-3PO,Jawa,1
Obi-Wan Kenobi,Biggs Darklighter,3
R2-D2,Biggs Darklighter,3
Biggs Darklighter,Captain Antilles,1
Biggs Darklighter,Princess Leia,3
Biggs Darklighter,C-3PO,4
Biggs Darklighter,Beru Lars,2
Obi-Wan Kenobi,Captain Antilles,1
Luke Skywalker,Captain Antilles,1
Luke Skywalker,Princess Leia,40
Captain Antilles,Princess Leia,1
Captain Antilles,Beru Lars,1
Beru Lars,Princess Leia,1
Luke Skywalker,Tusken Raider,2
Tusken Raider,C-3PO,1
Darth Vader,R2-D2,4
Darth Vader,C-3PO,4
Darth Vader,Commander Tagge,1
Darth Vader,Admiral Motti,2
Tarkin,Commander Tagge,1
Tarkin,Admiral Motti,2
Commander Tagge,Admiral Motti,1
R2-D2,Tusken Raider,1
Obi-Wan Kenobi,Tusken Raider,1
Tusken Raider,Jawa,1
Obi-Wan Kenobi,Jawa,1
Luke Skywalker,Ponda Babba,3
Bartender,Luke Skywalker,1
Luke Skywalker,Doctor Evezan,1
Ponda Babba,C-3PO,1
Obi-Wan Kenobi,Ponda Babba,2
Bartender,Ponda Babba,1
Doctor Evezan,Ponda Babba,1
Bartender,C-3PO,1
Doctor Evezan,C-3PO,1
Obi-Wan Kenobi,Bartender,1
Obi-Wan Kenobi,Doctor Evezan,1
Bartender,Doctor Evezan,1
Obi-Wan Kenobi,Han Solo,16
Obi-Wan Kenobi,Chewbacca,9
Luke Skywalker,Han Solo,49
Luke Skywalker,Chewbacca,28
Han Solo,Chewbacca,46
Greedo,Han Solo,1
Greedo,Jabba the Hutt,1
Han Solo,Jabba the Hutt,3
Imperial Officer,Tarkin,1
R2-D2,Han Solo,14
Han Solo,C-3PO,43
Tarkin,Princess Leia,1
Admiral Motti,Princess Leia,1
R2-D2,Chewbacca,11
C-3PO,Chewbacca,35
Obi-Wan Kenobi,Tarkin,1
Han Solo,Princess Leia,57
Chewbacca,Princess Leia,39
Darth Vader,Han Solo,8
Luke Skywalker,General Dodonna,4
Wedge Antilles,Luke Skywalker,17
Luke Skywalker,Lando Calrissian,12
Han Solo,General Dodonna,3
Wedge Antilles,Han Solo,3
Han Solo,Lando Calrissian,19
General Dodonna,Princess Leia,3
Wedge Antilles,General Dodonna,5
Lando Calrissian,General Dodonna,2
Wedge Antilles,Princess Leia,4
Lando Calrissian,Princess Leia,22
Wedge Antilles,Lando Calrissian,4
Biggs Darklighter,General Dodonna,3
R2-D2,General Dodonna,1
Red Leader,General Dodonna,2
General Dodonna,C-3PO,1
Han Solo,Biggs Darklighter,2
Biggs Darklighter,Red Leader,4
Wedge Antilles,Biggs Darklighter,7
R2-D2,Red Leader,2
Wedge Antilles,R2-D2,3
Luke Skywalker,Red Leader,6
Han Solo,Red Leader,2
Red Leader,Princess Leia,3
Red Leader,C-3PO,3
Wedge Antilles,C-3PO,4
Red Seven,Biggs Darklighter,1
Red Nine,Porkins,1
Red Eleven,Luke Skywalker,1
Red Leader,Lando Calrissian,2
Luke Skywalker,Red Ten,2
Red Ten,Princess Leia,1
Wedge Antilles,Red Ten,1
Red Leader,Red Ten,1
Biggs Darklighter,Lando Calrissian,2
Gold Five,Princess Leia,1
Luke Skywalker,Gold Two,1
Wedge Antilles,Gold Five,1
Gold Five,Red Leader,1
Tarkin,Rebel Trooper,1
Wedge Antilles,Red Three,2
Biggs Darklighter,Red Three,2
Red Leader,Red Three,2
Darth Vader,Red Ten,1
Darth Vader,Wedge Antilles,2
Darth Vader,Red Leader,2
Darth Vader,Biggs Darklighter,2
General Dodonna,Chewbacca,1
Queen Jamillia,General Rieekan,1
Queen Jamillia,Luke Skywalker,1
Queen Jamillia,Han Solo,1
Queen Jamillia,Princess Leia,1
General Rieekan,Luke Skywalker,2
General Rieekan,Han Solo,3
General Rieekan,Princess Leia,4
General Rieekan,Anakin Skywalker,1
Anakin Skywalker,Han Solo,5
Anakin Skywalker,Princess Leia,6
R2-D2,Major Derlin,1
Major Derlin,Princess Leia,2
Luke Skywalker,Major Derlin,1
Major Derlin,Chewbacca,1
Anakin Skywalker,Major Derlin,1
Major Derlin,C-3PO,1
Anakin Skywalker,Chewbacca,4
Han Solo,Zev,2
General Rieekan,C-3PO,1
General Rieekan,Flight Controller,2
Luke Skywalker,Flight Controller,2
Han Solo,Flight Controller,3
Flight Controller,C-3PO,3
Flight Controller,Princess Leia,3
Darth Vader,Republic Captain,2
Darth Vader,Admiral Ozzel,2
Darth Vader,Admiral Piett,8
Admiral Ozzel,Republic Captain,1
Republic Captain,Admiral Piett,2
Admiral Ozzel,Admiral Piett,2
Republic Captain,Rebel Officer,1
Republic Captain,Rebel Trooper,2
Rebel Officer,Rebel Trooper,1
Medical Droid,Luke Skywalker,1
Darth Vader,General Veers,2
Admiral Ozzel,General Veers,1
General Veers,Admiral Piett,1
Hobbie,Major Derlin,1
Hobbie,Princess Leia,1
Republic Captain,Flight Controller,2
Luke Skywalker,Dack Ralter,4
Hobbie,Luke Skywalker,2
Wedge Antilles,Janson,4
Luke Skywalker,Zev,2
Rebel Pilot,General Veers,1
R2-D2,Ponda Babba,1
Darth Vader,Captain Needa,4
Captain Needa,Admiral Piett,2
Darth Vader,Destroyer Droids,1
Darth Vader,Boba Fett,6
Darth Vader,Zuckuss,1
Darth Vader,Flight Controller,2
Zuckuss,Boba Fett,1
Flight Controller,Boba Fett,2
Boba Fett,Admiral Piett,2
Zuckuss,Flight Controller,1
Zuckuss,Admiral Piett,1
Flight Controller,Admiral Piett,2
Lando Calrissian,C-3PO,14
Lando Calrissian,Chewbacca,19
Han Solo,Lobot,2
Lobot,Princess Leia,2
C-3PO,Lobot,2
Lobot,Chewbacca,2
Lando Calrissian,Lobot,2
Yoda,Han Solo,2
Darth Vader,Lando Calrissian,8
Han Solo,Boba Fett,7
Lando Calrissian,Boba Fett,7
Luke Skywalker,Boba Fett,4
Boba Fett,Princess Leia,5
Anakin Skywalker,Lando Calrissian,5
Darth Vader,Chewbacca,4
Imperial Officer,Chewbacca,1
Boba Fett,Chewbacca,3
Imperial Officer,Lando Calrissian,1
Imperial Officer,Luke Skywalker,1
Imperial Officer,Han Solo,1
Imperial Officer,Princess Leia,1
Imperial Officer,Anakin Skywalker,1
Imperial Officer,C-3PO,1
Imperial Officer,Boba Fett,1
C-3PO,Boba Fett,3
R2-D2,Lando Calrissian,5
R2-D2,Boba Fett,3
Wicket,Biggs Darklighter,1
Wicket,Mon Mothma,1
Wicket,Chief Chirpa,1
Wicket,Moff Jerjerrod,1
Wicket,General Madine,1
Wicket,Admiral Piett,1
Wicket,Teebo,1
Wicket,Luke Skywalker,1
Wicket,Nien Nunb,1
Wicket,Red Two,1
Wicket,Wedge Antilles,1
Wicket,Rebel Pilot,1
Wicket,C-3PO,1
Wicket,Republic Captain,1
Wicket,Green Leader,1
Wicket,Owen Lars,1
Wicket,Walker Pilot,1
Wicket,Lando Calrissian,1
Wicket,Jabba the Hutt,1
Wicket,Darth Vader,1
Wicket,R2-D2,1
Wicket,Ewoks,1
Wicket,Han Solo,1
Wicket,Bib Fortuna,1
Wicket,Princess Leia,1
Wicket,Oola,1
Wicket,Red Leader,1
Wicket,Boba Fett,1
Wicket,Rebel Trooper,1
Wicket,Flight Controller,1
Wicket,Shuttle Captain,1
Wicket,Yoda,1
Wicket,Red Three,1
Wicket,Obi-Wan Kenobi,1
Wicket,Salacious Crumb,1
Wicket,EV-9D9,1
Wicket,Admiral Ackbar,1
Wicket,Chewbacca,1
Wicket,Stormtrooper,1
Wicket,Anakin Skywalker,1
Wicket,Paploo,1
Wicket,Palpatine,1
Wicket,Logray,1
Mon Mothma,Biggs Darklighter,1
Chief Chirpa,Biggs Darklighter,1
Moff Jerjerrod,Biggs Darklighter,1
General Madine,Biggs Darklighter,1
Biggs Darklighter,Admiral Piett,1
Teebo,Biggs Darklighter,1
Nien Nunb,Biggs Darklighter,1
Red Two,Biggs Darklighter,1
Rebel Pilot,Biggs Darklighter,1
Republic Captain,Biggs Darklighter,1
Green Leader,Biggs Darklighter,1
Walker Pilot,Biggs Darklighter,1
Biggs Darklighter,Jabba the Hutt,1
Ewoks,Biggs Darklighter,1
Biggs Darklighter,Bib Fortuna,1
Biggs Darklighter,Oola,1
Biggs Darklighter,Boba Fett,1
Biggs Darklighter,Rebel Trooper,1
Biggs Darklighter,Flight Controller,1
Shuttle Captain,Biggs Darklighter,1
Yoda,Biggs Darklighter,1
Biggs Darklighter,Salacious Crumb,1
Biggs Darklighter,EV-9D9,1
Admiral Ackbar,Biggs Darklighter,1
Biggs Darklighter,Chewbacca,1
Stormtrooper,Biggs Darklighter,1
Anakin Skywalker,Biggs Darklighter,1
Biggs Darklighter,Paploo,1
Biggs Darklighter,Palpatine,1
Biggs Darklighter,Logray,1
Mon Mothma,Chief Chirpa,1
Mon Mothma,Moff Jerjerrod,1
Mon Mothma,General Madine,1
Mon Mothma,Admiral Piett,1
Mon Mothma,Teebo,1
Mon Mothma,Luke Skywalker,1
Mon Mothma,Nien Nunb,1
Mon Mothma,Red Two,1
Mon Mothma,Wedge Antilles,1
Mon Mothma,Rebel Pilot,1
Mon Mothma,C-3PO,1
Mon Mothma,Republic Captain,1
Mon Mothma,Green Leader,1
Mon Mothma,Owen Lars,1
Mon Mothma,Walker Pilot,1
Mon Mothma,Lando Calrissian,1
Mon Mothma,Jabba the Hutt,1
Mon Mothma,Darth Vader,1
Mon Mothma,R2-D2,1
Mon Mothma,Ewoks,1
Mon Mothma,Han Solo,1
Mon Mothma,Bib Fortuna,1
Mon Mothma,Princess Leia,1
Mon Mothma,Oola,1
Mon Mothma,Red Leader,1
Mon Mothma,Boba Fett,1
Mon Mothma,Rebel Trooper,1
Mon Mothma,Flight Controller,1
