id,link
Obi-Wan Kenobi,./sw/images/kenobi.jpg
Anakin Skywalker,./sw/images/anakin.png
Darth Vader,./sw/images/vader.jpg
Palpatine,./sw/images/palp.png
Luke Skywalker,./sw/images/luke.png
Han Solo,./sw/images/solo.png
Princess Leia,./sw/images/leia.png
C-3PO,./sw/images/c3po.png
R2-D2,./sw/images/r2d2.png
Battle Droid,./sw/images/battledroid.png
Padme Amidala,./sw/images/padme.png
Jar Jar Binks,./sw/images/jar.png
Qui-Gon Jinn,./sw/images/quigon.png
Yoda,./sw/images/yoda.png
Chewbacca,./sw/images/chewie.jpg
Lando Calrissian,./sw/images/lando.png
Red Leader,./sw/images/redleader.png
Count Dooku,./sw/images/dooku.png
Wedge Antilles,./sw/images/wedge.png
Bail Organa,./sw/images/bail.png
General Grievous,./sw/images/grievous.png
Boba Fett,./sw/images/boba.png
Nute Gunray,./sw/images/gunray.png
Biggs Darklighter,./sw/images/biggs.png
Clone Troopers,./sw/images/clone.png
Captain Panaka,./sw/images/panaka.png
Mace Windu,./sw/images/mace.png
Darth Maul,./sw/images/maul.png
Shmi,./sw/images/shmi.png
Jango Fett,./sw/images/jango.png